2.666027,5.380285,14.561559,14.640795,29.781004,17.579136,29.260917,A
2.666070,5.380374,14.348437,14.277049,28.865327,17.387117,28.661472,A
2.665985,5.380397,15.188389,15.065965,30.508701,18.736100,30.250976,A
2.666165,5.380571,14.160105,13.906273,27.996178,16.743449,28.258733,A
2.666097,5.380083,14.172750,14.340837,28.819674,17.141886,28.694431,A
2.742146,5.552553,15.305133,15.244123,30.909699,18.299461,30.557968,A
2.742187,5.552641,14.916269,14.551258,29.360414,17.489516,29.551339,A
2.742235,5.552745,14.658813,14.263114,28.764680,17.107952,29.108168,A
2.742114,5.552575,16.194889,15.837482,31.866420,18.649252,32.475606,A
2.732660,5.528092,15.744306,15.708471,31.547579,18.550211,31.631167,A
2.732690,5.528155,15.271117,14.914504,30.086008,17.827070,30.265884,A
2.732651,5.528125,16.950897,16.649484,33.593685,19.708849,33.606896,A
2.732724,5.528224,15.146662,14.757507,29.760704,17.616392,30.048757,A
2.732696,5.528043,15.222276,15.223562,30.479005,18.010943,30.874815,A
2.750095,5.571036,14.944637,14.803426,30.347737,18.099362,29.687604,A
2.750105,5.571057,14.922780,14.671211,29.993264,19.590462,29.488472,A
2.750045,5.571107,15.387604,15.104843,30.608707,18.247664,30.430166,A
2.750206,5.571277,14.530926,14.158495,28.606287,17.078392,28.714497,A
2.750152,5.570854,14.602357,14.543637,29.338555,17.522832,29.213503,A
2.732415,5.531557,15.373660,15.131538,31.225298,18.792706,30.388697,A
2.732448,5.531628,15.136976,14.626112,29.568876,17.550681,29.812477,A
2.732408,5.531603,15.724107,15.348311,30.886631,18.129631,31.891729,A
2.732532,5.531809,14.594610,14.135971,28.537388,16.933851,28.908539,A
2.732468,5.531460,14.869981,14.736511,29.758682,17.735532,29.638329,A
2.8171,5.7685,14.3965,13.8694,28.1584,17.3071,28.1476,A
3.0309,6.6694,13.9484,13.5983,27.5209,17.3526,27.5233,A
3.0309,6.6535,13.8358,13.5704,28.2418,17.1153,27.2760,A
2.8467,5.8421,14.5781,13.9502,28.2148,18.3914,29.5436,A
2.3647,4.7540,11.9486,12.3926,24.7933,14.8308,24.6556,A
2.9065,5.9884,16.8838,14.9516,30.9286,18.1830,31.1799,A
